SL no.,Date (DD/MM/YYYY),Time UTC,Latitude N,Longitude E,Depth,Explosives used (kg),Type,Closest station,Data found?
SL01,23/06/2010*,22:28:20.7,44.4161,-105.6852,surface,unknown,unknown,RCEA,YES
SL02,25/06/2010,00:53:33.4,43.8371,-105.6959,surface,unknown,unknown,SE01,YES
SL03,29/06/2010,14:58:52.1,43.6838,-105.4786,surface,unknown,unknown,SE01,YES
SL04,30/06/2010,18:42:02.6,44.9562,-106.8549,surface,unknown,unknown,SE21,YES
SL05,05/07/2010,18:08:18.7,44.9929,-106.9852,surface,unknown,unknown,SN31,
SL06,12/07/2010*,20:52:53.7,44.4063,-105.8867,surface,unknown,unknown,SM61,
SL07,16/07/2010,18:01:07.0,43.6767,-105.3606,surface,unknown,unknown,SE01,
SL08,19/07/2010,18:03:51.9,43.5915,-105.6726,surface,unknown,unknown,SE01,
SL09,23/07/2010,15:10:01.4,44.9969,-107.0482,surface,unknown,unknown,SN31,
SL10,26/07/2010,20:21:20.6,43.624,-105.7403,surface,unknown,unknown,SE01,
SL11,28/07/2010,20:52:56.5,44.3162,-105.6777,surface,unknown,unknown,RCEA,
SL12,28/07/2010,22:59:20.2,44.4394,-105.6302,surface,unknown,unknown,RCEA,
SL13,29/07/2010*,17:32:09.7,43.9803,-105.3192,surface,1006878,cast,RCEA,
SL14,29/07/2010*,18:37:43.1,44.0675,-105.4525,surface,276381,cast,RCEA,
SL15,29/07/2010,23:25:15.6,44.4228,-105.7257,surface,unknown,unknown,RCEA,
SL16,30/07/2010,16:17:23.0,43.5913,-105.6351,surface,unknown,unknown,SE01,
SL17,05/08/2010,15:38:22.0,44.9946,-106.8434,surface,unknown,unknown,SE21,YES
SL18,06/08/2010,18:04:11.1,43.6451,-105.3301,surface,unknown,unknown,SE01,YES
SL19,12/08/2010,00:05:12.8,43.8185,-105.7574,surface,unknown,unknown,SE01,YES
SL20,14/08/2010,20:02:02.3,43.7309,-105.646,surface,unknown,unknown,SE01,YES
SL21,15/08/2010,19:07:13.5,43.9202,-105.3053,surface,unknown,unknown,RCEA,YES
SL22,15/08/2010,23:05:21.3,43.6266,-105.5715,surface,unknown,unknown,SE01,YES
SL23,16/08/2010*,15:44:49.8,44.9957,-106.8379,surface,221669,overburden,SE21,YES
SL24,17/08/2010,21:07:02.2,43.8117,-105.5968,surface,unknown,unknown,SE01,YES
SL25,19/08/2010,23:27:55.2,44.9598,-106.908,surface,unknown,unknown,SN32,YES
SL26,24/08/2010,18:27:13.6,43.9037,-105.211,surface,unknown,unknown,RCEA,YES
SL27,24/08/2010,18:54:43.0,43.626,-105.3782,surface,unknown,unknown,SE01,YES
SL28,24/08/2010,20:07:18.8,43.5363,-105.578,surface,unknown,unknown,SE01,YES
SL29,25/08/2010,19:13:29.4,44.9803,-107.0071,surface,unknown,unknown,SN31,YES
SL30,25/08/2010,20:10:37.8,43.6359,-105.7704,surface,unknown,unknown,SE01,YES
SL31,27/08/2010,19:56:56.0,43.5648,-105.5841,surface,unknown,unknown,SE01,YES
SL32,29/08/2010,19:13:27.1,44.4056,-105.8607,surface,unknown,unknown,SM61,YES
SL33,30/08/2010,21:31:38.9,43.7538,-105.6343,surface,unknown,unknown,SE01,YES
SL34,03/09/2010,20:01:34.3,43.7768,-105.7274,surface,unknown,unknown,SE01,YES
SL35,04/09/2010,21:36:40.2,44.0922,-105.5941,surface,unknown,unknown,RCEA,YES
SL36,12/09/2010,15:38:31.5,44.0852,-105.5496,surface,unknown,unknown,RCEA,YES
SL37,26/09/2010,20:13:26.2,45.0053,-106.9896,surface,unknown,unknown,SN31,YES
